V1,V2,V3
348,539650,184450
349,549150,184450
350,549650,184450
351,561150,184450
352,561650,184450
353,563650,184450
354,532650,183950
355,533150,183950
356,538150,183950
357,538650,183950
358,545650,183950
359,546150,183950
360,560650,183950
361,562150,183950
362,563150,183950
363,564650,183950
364,526150,183450
365,533150,183450
366,536650,183450
367,537150,183450
368,537650,183450
369,538150,183450
370,546150,183450
371,546650,183450
372,547150,183450
373,547650,183450
374,549650,183450
375,558650,183450
376,560150,183450
377,562150,183450
378,562650,183450
379,529650,182950
380,536650,182950
381,537150,182950
382,537650,182950
383,538150,182950
384,546650,182950
385,547150,182950
386,547650,182950
387,548150,182950
388,549650,182950
389,551150,182950
390,559150,182950
391,559650,182950
392,560150,182950
393,562150,182950
394,563650,182950
395,564150,182950
396,564650,182950
397,529650,182450
398,530150,182450
399,530650,182450
400,534650,182450
401,536650,182450
402,537150,182450
403,537650,182450
404,538150,182450
405,538650,182450
406,550150,182450
407,550650,182450
408,551650,182450
409,552150,182450
410,554650,182450
411,559650,182450
412,561650,182450
413,564150,182450
414,531650,181950
415,532150,181950
416,533650,181950
417,534150,181950
418,534650,181950
419,536150,181950
420,537650,181950
421,538150,181950
422,538650,181950
423,539150,181950
424,539650,181950
425,541650,181950
426,547150,181950
427,551650,181950
428,552650,181950
429,553650,181950
430,554150,181950
431,557150,181950
432,560650,181950
433,529150,181450
434,533650,181450
435,536650,181450
436,537150,181450
437,537650,181450
438,538150,181450
439,538650,181450
440,539150,181450
441,539650,181450
442,541150,181450
443,541650,181450
444,543150,181450
445,545150,181450
446,548650,181450
447,553150,181450
448,553650,181450
449,554150,181450
450,557150,181450
451,557650,181450
452,560150,181450
453,535650,180950
454,536150,180950
455,536650,180950
456,537150,180950
457,537650,180950
458,538150,180950
459,538650,180950
460,539150,180950
461,539650,180950
462,540150,180950
463,540650,180950
464,541150,180950
465,545150,180950
466,549150,180950
467,549650,180950
468,555150,180950
469,555650,180950
470,557650,180950
471,558650,180950
472,559150,180950
473,560650,180950
474,562650,180950
475,528650,180450
476,531150,180450
477,536150,180450
478,536650,180450
479,538150,180450
480,538650,180450
481,539150,180450
482,539650,180450
483,540150,180450
484,540650,180450
485,541650,180450
486,543150,180450
487,549650,180450
488,551150,180450
489,555650,180450
490,560150,180450
491,560650,180450
492,562150,180450
493,562650,180450
494,532650,179950
495,533150,179950
496,533650,179950
497,534650,179950
498,535150,179950
499,538650,179950
500,539150,179950
501,539650,179950
502,540150,179950
503,542650,179950
504,548650,179950
505,551150,179950
506,555150,179950
507,560650,179950
508,561650,179950
509,562150,179950
510,562650,179950
511,530650,179450
512,531150,179450
513,532650,179450
514,533150,179450
515,534150,179450
516,537150,179450
517,538150,179450
518,539150,179450
519,539650,179450
520,540150,179450
521,540650,179450
522,547650,179450
523,551150,179450
524,552150,179450
525,552650,179450
526,553650,179450
527,555150,179450
528,557650,179450
529,558150,179450
530,560650,179450
531,562150,179450
532,527650,178950
533,530650,178950
534,538150,178950
535,539150,178950
536,540650,178950
537,541150,178950
538,543150,178950
539,543650,178950
540,547150,178950
541,550150,178950
542,550650,178950
543,551150,178950
544,552150,178950
545,552650,178950
546,557650,178950
547,558150,178950
548,558650,178950
549,561150,178950
550,527150,178450
551,529650,178450
552,530150,178450
553,530650,178450
554,538650,178450
555,543150,178450
556,543650,178450
557,546650,178450
558,557650,178450
559,558650,178450
560,560150,178450
561,561150,178450
562,561650,178450
563,526150,177950
564,528150,177950
565,530150,177950
566,538650,177950
567,539150,177950
568,540150,177950
569,543650,177950
570,545150,177950
571,545650,177950
572,551650,177950
573,553650,177950
574,554150,177950
575,556650,177950
576,560150,177950
577,561650,177950
578,562150,177950
579,524650,177450
580,529650,177450
581,536650,177450
582,537650,177450
583,540150,177450
584,544150,177450
585,544650,177450
586,545650,177450
587,547650,177450
588,551650,177450
589,552150,177450
590,553650,177450
591,556650,177450
592,559650,177450
593,561150,177450
594,561650,177450
595,562150,177450
596,562650,177450
597,521150,176950
598,524650,176950
599,525150,176950
600,535650,176950
601,536150,176950
602,536650,176950
603,539150,176950
604,543150,176950
605,543650,176950
606,544650,176950
607,546650,176950
608,547150,176950
609,556150,176950
610,557650,176950
611,560150,176950
612,521650,176450
613,522650,176450
614,526650,176450
615,528650,176450
616,529150,176450
617,530650,176450
618,531650,176450
619,532150,176450
620,539150,176450
621,541150,176450
622,543650,176450
623,548150,176450
624,548650,176450
625,557150,176450
626,557650,176450
627,560650,176450
628,561150,176450
629,519650,175950
630,521150,175950
631,521650,175950
632,522150,175950
633,522650,175950
634,525150,175950
635,528650,175950
636,529150,175950
637,530150,175950
638,530650,175950
639,531150,175950
640,533650,175950
641,541150,175950
642,546650,175950
643,554650,175950
644,560650,175950
645,519650,175450
646,520650,175450
647,521150,175450
648,529150,175450
649,530150,175450
650,530650,175450
651,531150,175450
652,534150,175450
653,534650,175450
654,535650,175450
655,544650,175450
656,546650,175450
657,550650,175450
658,552650,175450
659,553150,175450
660,556650,175450
661,557150,175450
662,557650,175450
