shapeid	x	y
266	46.82542	6.5101
267	46.82548	6.51665
268	46.82558	6.52975
269	46.82563	6.53631
270	46.82574	6.54941
271	46.82608	6.59528
272	46.82628	6.62149
273	46.82632	6.62804
274	46.82655	6.6608
275	46.82806	6.92946
276	46.82809	6.93602
277	46.82812	6.94257
278	46.82815	6.94912
279	46.82818	6.95567
280	46.8282	6.96223
281	46.82823	6.96878
282	46.82836	7.00155
283	46.82043	6.45121
284	46.82049	6.45776
285	46.82055	6.46431
286	46.8206	6.47086
287	46.82077	6.49052
288	46.82082	6.49707
289	46.82087	6.50362
290	46.82093	6.51017
291	46.82098	6.51673
292	46.82109	6.52983
293	46.82144	6.57569
294	46.82182	6.62811
295	46.82356	6.92951
296	46.82359	6.93606
297	46.82362	6.94261
298	46.82365	6.94916
299	46.82368	6.95572
300	46.82373	6.96882
301	46.81599	6.45784
302	46.81605	6.46439
303	46.81632	6.49715
304	46.81638	6.5037
305	46.81659	6.5299
306	46.81684	6.56266
307	46.81755	6.66093
308	46.81904	6.923
309	46.81907	6.92955
310	46.8191	6.9361
311	46.81912	6.94265
312	46.81915	6.9492
313	46.81926	6.97541
314	46.81929	6.98196
315	46.81934	6.99507
316	46.81155	6.46447
317	46.81183	6.49723
318	46.81225	6.54963
319	46.8124	6.56928
320	46.81264	6.60204
321	46.81274	6.61514
322	46.81278	6.62169
323	46.81283	6.62824
324	46.81292	6.64134
325	46.81297	6.64789
326	46.81301	6.65445
327	46.81442	6.89683
328	46.81451	6.91649
329	46.81457	6.92959
330	46.8146	6.93614
331	46.81463	6.94269
332	46.81465	6.94924
333	46.81471	6.96235
334	46.81476	6.97545
335	46.81479	6.982
336	46.81482	6.98855
337	46.81484	6.9951
338	46.80716	6.47766
339	46.8077	6.54316
340	46.80775	6.54971
341	46.8078	6.55626
342	46.808	6.58246
343	46.80805	6.58901
344	46.80824	6.61521
345	46.80829	6.62176
346	46.80838	6.63486
347	46.80842	6.64141
348	46.80847	6.64796
349	46.80926	6.77242
350	46.8093	6.77897
351	46.81007	6.92963
352	46.8101	6.93618
353	46.81021	6.96239
354	46.8033	6.55633
355	46.80335	6.56288
356	46.80383	6.62838
357	46.80388	6.63493
358	46.80449	6.72662
359	46.80453	6.73317
360	46.80554	6.92313
361	46.80563	6.94278
362	46.80569	6.95588
363	46.80577	6.97553
364	46.79811	6.47127
365	46.79885	6.56295
366	46.7992	6.6088
367	46.79924	6.61535
368	46.79929	6.6219
369	46.79934	6.62844
370	46.80003	6.73323
371	46.80007	6.73978
372	46.80011	6.74633
373	46.80015	6.75288
374	46.80031	6.77908
375	46.80093	6.89697
376	46.80102	6.91662
377	46.80113	6.94282
378	46.80116	6.94937
379	46.794	6.51719
380	46.7947	6.60887
381	46.79475	6.61542
382	46.79479	6.62196
383	46.79484	6.62851
384	46.79557	6.73984
385	46.79561	6.74639
386	46.79565	6.75294
387	46.79569	6.75949
388	46.79581	6.77913
389	46.79592	6.79878
390	46.79646	6.90356
391	46.79649	6.91011
392	46.79652	6.91666
393	46.79664	6.94286
394	46.79672	6.96251
395	46.79675	6.96906
396	46.79677	6.9756
397	46.7895	6.51726
398	46.78955	6.52381
399	46.7896	6.53036
400	46.79001	6.58274
401	46.7902	6.60894
402	46.79025	6.61548
403	46.7903	6.62203
404	46.79034	6.62858
405	46.79039	6.63513
406	46.79135	6.78574
407	46.79139	6.79229
408	46.79146	6.80538
409	46.79149	6.81193
410	46.79167	6.84467
411	46.79199	6.91016
412	46.79211	6.93635
413	46.79225	6.96909
414	46.78521	6.54353
415	46.78526	6.55008
416	46.78541	6.56972
417	46.78546	6.57627
418	46.78551	6.58282
419	46.78566	6.60246
420	46.7858	6.6221
421	46.78584	6.62865
422	46.78589	6.6352
423	46.78594	6.64174
424	46.78598	6.64829
425	46.78616	6.67448
426	46.78662	6.74651
427	46.78696	6.80544
428	46.78703	6.81853
429	46.7871	6.83163
430	46.78714	6.83817
431	46.78734	6.87746
432	46.78755	6.9233
433	46.78045	6.51087
434	46.78091	6.56979
435	46.78121	6.60907
436	46.78125	6.61562
437	46.7813	6.62217
438	46.78135	6.62872
439	46.78139	6.63526
440	46.78144	6.64181
441	46.78148	6.64836
442	46.78162	6.668
443	46.78166	6.67454
444	46.78179	6.69419
445	46.78196	6.72037
446	46.78224	6.7662
447	46.78257	6.82513
448	46.78261	6.83168
449	46.78264	6.83822
450	46.78284	6.87751
451	46.78287	6.88406
452	46.78303	6.91679
453	46.77661	6.59605
454	46.77666	6.6026
455	46.77671	6.60914
456	46.77676	6.61569
457	46.7768	6.62224
458	46.77685	6.62878
459	46.7769	6.63533
460	46.77694	6.64188
461	46.77699	6.64842
462	46.77703	6.65497
463	46.77708	6.66152
464	46.77712	6.66806
465	46.77746	6.72043
466	46.77778	6.77281
467	46.77782	6.77935
468	46.77821	6.85137
469	46.77824	6.85792
470	46.77837	6.8841
471	46.77844	6.8972
472	46.77847	6.90374
473	46.77856	6.92338
474	46.77867	6.94957
475	46.7714	6.50448
476	46.77167	6.53721
477	46.77216	6.60267
478	46.77221	6.60921
479	46.77235	6.62885
480	46.7724	6.6354
481	46.77244	6.64194
482	46.77249	6.64849
483	46.77254	6.65503
484	46.77258	6.66158
485	46.77267	6.67467
486	46.7728	6.69431
487	46.77332	6.77941
488	46.77343	6.79905
489	46.77375	6.85796
490	46.77403	6.91688
491	46.77406	6.92343
492	46.77415	6.94307
493	46.77418	6.94961
494	46.76732	6.55692
495	46.76737	6.56346
496	46.76742	6.57001
497	46.76752	6.5831
498	46.76757	6.58965
499	46.7679	6.63546
500	46.76795	6.64201
501	46.76799	6.64855
502	46.76804	6.6551
503	46.76826	6.68783
504	46.76875	6.76637
505	46.76893	6.7991
506	46.76922	6.85147
507	46.76956	6.92347
508	46.76962	6.93656
509	46.76965	6.94311
510	46.76968	6.94965
511	46.76262	6.53081
512	46.76267	6.53736
513	46.76282	6.55699
514	46.76287	6.56354
515	46.76297	6.57663
516	46.76326	6.6159
517	46.76336	6.62899
518	46.76345	6.64208
519	46.76349	6.64862
520	46.76354	6.65516
521	46.76358	6.66171
522	46.76417	6.75334
523	46.76444	6.79915
524	46.76451	6.81224
525	46.76455	6.81879
526	46.76462	6.83188
527	46.76472	6.85152
528	46.76488	6.88424
529	46.76491	6.89079
530	46.76507	6.92351
531	46.76515	6.94315
532	46.7578	6.49163
533	46.75812	6.53089
534	46.75886	6.62905
535	46.75895	6.64214
536	46.75909	6.66177
537	46.75913	6.66832
538	46.75931	6.6945
539	46.75935	6.70104
540	46.75963	6.74685
541	46.75987	6.78612
542	46.7599	6.79266
543	46.75994	6.79921
544	46.76001	6.8123
545	46.76005	6.81884
546	46.76038	6.88429
547	46.76042	6.89083
548	46.76045	6.89738
549	46.7606	6.9301
550	46.75325	6.48516
551	46.75352	6.51788
552	46.75357	6.52442
553	46.75362	6.53097
554	46.75441	6.63566
555	46.75481	6.69456
556	46.75485	6.7011
557	46.7551	6.74037
558	46.75589	6.88433
559	46.75595	6.89742
560	46.75604	6.91705
561	46.7561	6.93014
562	46.75613	6.93669
563	46.74864	6.47215
564	46.74886	6.49833
565	46.74907	6.5245
566	46.74991	6.63573
567	46.74996	6.64227
568	46.75005	6.65536
569	46.75035	6.70116
570	46.75048	6.72079
571	46.75052	6.72734
572	46.75098	6.80586
573	46.75112	6.83203
574	46.75116	6.83858
575	46.75132	6.87129
576	46.75154	6.9171
577	46.75163	6.93673
578	46.75166	6.94327
579	46.74398	6.45261
580	46.74452	6.51803
581	46.74523	6.60963
582	46.74532	6.62271
583	46.74555	6.65543
584	46.7459	6.70777
585	46.74594	6.71431
586	46.74602	6.7274
587	46.74618	6.75357
588	46.74648	6.80591
589	46.74652	6.81245
590	46.74663	6.83208
591	46.74683	6.87134
592	46.74702	6.9106
593	46.7471	6.93023
594	46.74713	6.93677
595	46.74716	6.94331
596	46.74719	6.94986
597	46.73908	6.4069
598	46.73948	6.45269
599	46.73954	6.45923
600	46.74063	6.59661
601	46.74068	6.60315
602	46.74073	6.6097
603	46.74096	6.64241
604	46.74132	6.69474
605	46.74136	6.70129
606	46.74144	6.71437
607	46.7416	6.74054
608	46.74164	6.74708
609	46.7423	6.86484
610	46.74239	6.88447
611	46.74255	6.91718
612	46.73464	6.41353
613	46.73475	6.42661
614	46.73521	6.47894
615	46.73542	6.5051
616	46.73548	6.51164
617	46.73563	6.53127
618	46.73574	6.54435
619	46.73579	6.55089
620	46.73646	6.64247
621	46.73664	6.66864
622	46.73686	6.70135
623	46.73723	6.76022
624	46.73726	6.76677
625	46.73786	6.87798
626	46.7379	6.88452
627	46.73808	6.92377
628	46.73811	6.93031
629	46.7299	6.38745
630	46.73008	6.40707
631	46.73014	6.41361
632	46.7302	6.42015
633	46.73026	6.42669
634	46.73054	6.4594
635	46.73093	6.50518
636	46.73098	6.51172
637	46.73109	6.5248
638	46.73114	6.53134
639	46.73119	6.53788
640	46.73144	6.57059
641	46.73215	6.6687
642	46.73261	6.74066
643	46.7332	6.84532
644	46.73358	6.92381
645	46.72541	6.38754
646	46.72553	6.40062
647	46.72558	6.40716
648	46.72648	6.5118
649	46.72659	6.52488
650	46.72664	6.53142
651	46.72669	6.53796
652	46.72699	6.5772
653	46.72704	6.58374
654	46.72714	6.59682
655	46.72795	6.71455
656	46.72811	6.74071
657	46.72842	6.79304
658	46.72856	6.8192
659	46.7286	6.82574
660	46.72884	6.87153
661	46.72887	6.87807
662	46.7289	6.88461
663	46.72091	6.38762
664	46.72097	6.39416
665	46.72193	6.50534
666	46.72198	6.51188
667	46.72214	6.5315
668	46.72219	6.53804
669	46.72225	6.54457
670	46.72264	6.59689
671	46.72269	6.60343
672	46.72302	6.64921
673	46.72324	6.68191
674	46.72341	6.70807
675	46.72385	6.78001
676	46.72392	6.79309
677	46.72407	6.81925
678	46.72417	6.83888
679	46.72424	6.85196
680	46.72434	6.87158
681	46.72443	6.8912
682	46.72447	6.89774
683	46.71635	6.38117
684	46.71641	6.38771
685	46.71647	6.39425
686	46.71653	6.40079
687	46.71743	6.50541
688	46.71749	6.51195
689	46.71759	6.52503
690	46.71764	6.53157
691	46.7177	6.53811
692	46.71775	6.54465
693	46.71838	6.62966
694	46.71843	6.6362
695	46.71847	6.64274
696	46.71856	6.65582
697	46.71874	6.68198
698	46.71904	6.72775
699	46.71912	6.74083
700	46.71939	6.78661
701	46.71942	6.79315
702	46.71957	6.81931
703	46.71978	6.85854
704	46.71987	6.87816
705	46.71997	6.89778
706	46.71173	6.36818
707	46.71179	6.37472
708	46.71185	6.38126
709	46.71191	6.3878
710	46.71203	6.40088
711	46.71266	6.4728
712	46.7134	6.56434
713	46.71345	6.57088
714	46.71393	6.63627
715	46.71398	6.64281
716	46.71407	6.65588
717	46.71429	6.68858
718	46.71433	6.69512
719	46.71437	6.70166
720	46.71458	6.73435
721	46.71462	6.74089
722	46.71521	6.84551
723	46.71534	6.87167
724	46.71544	6.89129
725	46.71547	6.89783
726	46.71562	6.93052
727	46.70711	6.3552
728	46.70717	6.36174
729	46.70729	6.37481
730	46.70736	6.38135
